Season,2015 REF,WK,Performance,Mins,Gls,Ass,CS,GC,OG,PS,PM,Y,R,S,BP,ESP,TOT,Team,Name,Pos,Game
2015,257,1,1,90,0,0,0,2,0,0,0,0,0,2,0,10,1,Man Utd,De Gea,G,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,259,1,1,90,0,0,0,2,0,0,0,0,0,0,0,17,1,Man Utd,Smalling,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,260,1,1,90,0,1,0,2,0,0,0,0,0,0,0,28,4,Man Utd,Jones,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,566,1,1,90,0,0,0,2,0,0,0,1,0,0,0,13,0,Man Utd,Blackett,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,267,1,1,90,0,0,0,2,0,0,0,0,0,0,0,12,2,Man Utd,Mata,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,268,1,1,24,0,0,0,1,0,0,0,0,0,0,0,5,1,Man Utd,Fellaini,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,270,1,1,45,0,0,0,1,0,0,0,0,0,0,0,3,1,Man Utd,Nani,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,273,1,1,90,0,0,0,2,0,0,0,0,0,0,0,18,2,Man Utd,Fletcher,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,275,1,1,90,0,0,0,2,0,0,0,1,0,0,0,15,1,Man Utd,Young,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,278,1,1,23,0,0,0,0,0,0,0,0,0,0,0,3,1,Man Utd,Lingard,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,279,1,1,67,0,0,0,2,0,0,0,0,0,0,0,2,2,Man Utd,Januzaj,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,281,1,1,66,0,0,0,1,0,0,0,0,0,0,0,12,2,Man Utd,Herrera,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,283,1,1,45,0,0,0,1,0,0,0,0,0,0,0,2,1,Man Utd,Hernandez,F,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,284,1,1,90,1,0,0,2,0,0,0,0,0,0,1,30,7,Man Utd,Rooney,F,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,448,1,1,90,0,0,0,1,0,0,0,0,0,4,0,15,3,Swansea,Fabianski,G,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,449,1,1,90,0,0,0,1,0,0,0,0,0,0,0,20,2,Swansea,Williams,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,450,1,1,52,0,0,0,1,0,0,0,1,0,0,0,0,0,Swansea,Taylor,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,452,1,1,90,0,0,0,1,0,0,0,0,0,0,0,16,2,Swansea,Rangel,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,456,1,1,38,0,0,0,0,0,0,0,0,0,0,0,7,1,Swansea,Tiendalli,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,457,1,1,90,0,0,0,1,0,0,0,0,0,0,0,14,2,Swansea,Amat,D,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,381,1,1,90,1,1,0,1,0,0,0,0,0,0,3,38,13,Swansea,Sigurdsson,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,460,1,1,90,0,1,0,1,0,0,0,0,0,0,0,13,5,Swansea,Routledge,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,461,1,1,66,0,0,0,1,0,0,0,1,0,0,0,4,1,Swansea,Dyer,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,465,1,1,90,0,0,0,1,0,0,0,1,0,0,0,11,1,Swansea,Shelvey,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,471,1,1,90,1,0,0,1,0,0,0,1,0,0,2,31,8,Swansea,Ki Sung-Yueng,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,537,1,1,24,0,0,0,0,0,0,0,0,0,0,0,2,1,Swansea,Montero,M,Man Utd 1 - 2 Swansea: 16 Aug 12:45
2015,472,1,1,76,0,0,0,1,0,0,0,0,0,0,0,2,2,Swansea,Bony,F,Man Utd 1 - 2 Swansea: 16 Aug 12:45
