Ref,Name,Pos,Team,Value,Owners
1,Wojciech Szczesny,Goalkeeper,Arsenal,5.2,163506
2,Laurent Koscielny,Defender,Arsenal,6.1,345504
3,Thomas Vermaelen,Defender,Arsenal,5,4219
4,Kieran Gibbs,Defender,Arsenal,5.2,58431
5,Carl Jenkinson,Defender,West Ham,5,28033
6,Per Mertesacker,Defender,Arsenal,6.1,180844
7,Nacho Monreal,Defender,Arsenal,4.9,123689
8,Isaac Hayden,Defender,Arsenal,4.3,1805
9,Hector Bellerin,Defender,Arsenal,4.8,242338
10,Jack Wilshere,Midfielder,Arsenal,6.3,79706
11,Theo Walcott,Midfielder,Arsenal,8.2,13413
12,Aaron Ramsey,Midfielder,Arsenal,8.8,467602
13,Tomas Rosicky,Midfielder,Arsenal,4.6,18394
14,Mikel Arteta,Midfielder,Arsenal,5.2,23041
15,Alex OxladeChamberlain,Midfielder,Arsenal,6.2,35488
16,Santiago Cazorla,Midfielder,Arsenal,8.4,520111
17,Vassiriki Diaby,Midfielder,Arsenal,4.7,1599
18,Serge Gnabry,Midfielder,Arsenal,4.8,505
19,Gedion Zelalem,Midfielder,Arsenal,4.7,720
20,Mathieu Flamini,Midfielder,Arsenal,4.8,8459
21,Mesut Ozil,Midfielder,Arsenal,9,155863
22,Ryo Miyaichi,Midfielder,Arsenal,4.5,974
23,Alexis Sanchez,Midfielder,Arsenal,11.6,1304010
24,Lukas Podolski,Forward,Arsenal,7.2,14032
25,Olivier Giroud,Forward,Arsenal,8.7,666094
26,Yaya Sanogo,Forward,Crystal Palace,4.7,23282
27,Chuba Akpom,Forward,Arsenal,4.8,928
28,Joel Campbell,Forward,Arsenal,5,13989
29,Shay Given,Goalkeeper,Aston Villa,4,257015
30,Bradley Guzan,Goalkeeper,Aston Villa,4.6,407931
31,Nathan Baker,Defender,Aston Villa,4.3,4554
32,Ciaran Clark,Defender,Aston Villa,4.2,22307
33,Matthew Lowton,Defender,Aston Villa,4,4800
34,Ron Vlaar,Defender,Aston Villa,4.3,325116
35,Joe Bennett,Defender,Aston Villa,4.5,640
36,Jores Okore,Defender,Aston Villa,4.2,12953
37,Antonio Luna,Defender,Aston Villa,4.5,296
38,Janoi Donacien,Defender,Aston Villa,3.9,7968
39,Philippe Senderos,Defender,Aston Villa,4.3,32525
40,Fabian Delph,Midfielder,Aston Villa,4.8,44833
41,Charles NZogbia,Midfielder,Aston Villa,5.2,8457
42,Gary Gardner,Midfielder,Aston Villa,4.3,4096
43,Karim El Ahmadi,Midfielder,Aston Villa,4.4,68617
44,Ashley Westwood,Midfielder,Aston Villa,4.7,9760
45,Leandro Bacuna,Midfielder,Aston Villa,5,5064
46,Aleksandar Tonev,Midfielder,Aston Villa,4.5,557
47,Samir Carruthers,Midfielder,Aston Villa,4.5,87
48,Daniel Johnson,Midfielder,Aston Villa,4.4,711
49,Jack Grealish,Midfielder,Aston Villa,4.3,19286
50,Joe Cole,Midfielder,Aston Villa,5.3,1880
51,Kieran Richardson,Midfielder,Aston Villa,4.9,7602
52,Gabriel Agbonlahor,Forward,Aston Villa,5,56020
53,Andreas Weimann,Forward,Aston Villa,5.1,76968
54,Christian Benteke,Forward,Aston Villa,8,424154
55,Libor Kozak,Forward,Aston Villa,5.9,213
56,Callum Robinson,Forward,Aston Villa,4.3,4702
57,Darren Bent,Forward,Aston Villa,4.6,14594
58,Thomas Heaton,Goalkeeper,Burnley,4.7,194010
59,Matthew Gilks,Goalkeeper,Burnley,3.9,109131
60,Michael Duff,Defender,Burnley,3.9,224726
61,Jason Shackell,Defender,Burnley,4.4,20585
62,Kevin Long,Defender,Burnley,3.8,20180
63,Daniel Lafferty,Defender,Burnley,3.9,16714
64,Ben Mee,Defender,Burnley,4.5,8657
65,Kieran Trippier,Defender,Burnley,4.8,77518
66,Dean Marney,Midfielder,Burnley,4.2,9572
67,David Jones,Midfielder,Burnley,4.5,24062
68,Ross Wallace,Midfielder,Burnley,4.2,4473
69,Scott Arfield,Midfielder,Burnley,4.7,12321
70,Michael Kightly,Midfielder,Burnley,4.5,2082
71,Matthew Taylor,Midfielder,Burnley,4.7,2444
72,Steven Reid,Midfielder,Burnley,4.2,9788
73,Danny Ings,Forward,Burnley,5.5,147225
74,Sam Vokes,Forward,Burnley,5.3,490
75,Ashley Barnes,Forward,Burnley,4.4,33475
76,Marvin Sordell,Forward,Burnley,4.6,1453
77,Petr Cech,Goalkeeper,Chelsea,5.4,60685
78,Thibaut Courtois,Goalkeeper,Chelsea,5.9,345659
79,Gary Cahill,Defender,Chelsea,6.3,428000
80,John Terry,Defender,Chelsea,7.1,795967
81,Branislav Ivanovic,Defender,Chelsea,7.7,1057459
82,Cesar Azpilicueta,Defender,Chelsea,6.2,294881
83,Nathan Ake,Defender,Chelsea,4.3,2162
84,Ryan Bertrand,Defender,Southampton,5.8,728040
85,Josh McEachran,Midfielder,Chelsea,4.5,304
86,Ramires Santos do Nascimento,Midfielder,Chelsea,5.3,14643
87,John Obi Mikel,Midfielder,Chelsea,4.3,15207
88,Lucas Piazon,Midfielder,Chelsea,5,63
89,Eden Hazard,Midfielder,Chelsea,10.8,1207090
90,Oscar dos Santos Emboaba Junior,Midfielder,Chelsea,7.9,148424
91,Andre Schurrle,Midfielder,Chelsea,7.1,90466
92,Marco van Ginkel,Midfielder,Chelsea,5.9,862
93,Isaiah Brown,Midfielder,Chelsea,4.3,1424
94,Willian,Midfielder,Chelsea,7.7,31962
95,Nemanja Matic,Midfielder,Chelsea,5.5,122463
96,Mohamed Salah,Midfielder,Chelsea,6,5779
97,Lewis Baker,Midfielder,Chelsea,4.8,423
98,John Swift,Midfielder,Chelsea,4.5,112
99,Victor Moses,Midfielder,Stoke,5,9723
100,Cesc Fibregas,Midfielder,Chelsea,9.1,928925
101,Fernando Torres,Forward,Chelsea,7.3,12046
102,Demba Ba,Forward,Chelsea,7,294
103,Romelu Lukaku,Forward,Everton,8.7,253819
104,Julian Speroni,Goalkeeper,Crystal Palace,4.8,104718
105,Wayne Hennessey,Goalkeeper,Crystal Palace,4.3,5753
106,Joel Ward,Defender,Crystal Palace,4.7,94776
107,Damien Delaney,Defender,Crystal Palace,4.9,17544
108,Patrick McCarthy,Defender,Crystal Palace,3.9,13163
109,Jack Hunt,Defender,Crystal Palace,4,986
110,Adrian Mariappa,Defender,Crystal Palace,4.2,3941
111,Ryan Inniss,Defender,Crystal Palace,3.9,6418
112,Scott Dann,Defender,Crystal Palace,4.9,59010
113,Barry Bannan,Midfielder,Crystal Palace,4.7,747
114,Yannick Bolasie,Midfielder,Crystal Palace,5.6,243072
115,Owen Garvan,Midfielder,Crystal Palace,4.5,564
116,Mile Jedinak,Midfielder,Crystal Palace,5,75836
117,Jonathan Williams,Midfielder,Crystal Palace,4.8,483
118,Jerome Thomas,Midfielder,Crystal Palace,4.3,1245
119,Jason Puncheon,Midfielder,Crystal Palace,5.5,178216
120,Jose Campana,Midfielder,Crystal Palace,4.5,54
121,Stuart OKeefe,Midfielder,Crystal Palace,4.5,1174
122,Jimmy Kebe,Midfielder,Crystal Palace,4.5,1609
123,Adlene Guedioura,Midfielder,Crystal Palace,4.4,945
