"mnum","teamdate","team","date","goal","fkblock","fkgoal","fkmiss","fktarget","penblock","pengoal","penmiss","pentarget","shotibblock","shotibgoal","shotibmiss","shotibtarget","shotobblock","shotobgoal","shotobmiss","shotobtarget","assist","cornertaken","cross","keypass"
1,"middlesbrough 20150515","middlesbrough",20150515,3,0,0,1,0,0,0,0,0,1,2,1,0,0,1,4,1,2,3,13,8
2,"middlesbrough 20150314","middlesbrough",20150314,4,0,0,0,0,0,0,0,0,2,4,5,0,0,0,2,0,4,3,8,13
3,"middlesbrough 20150303","middlesbrough",20150303,3,0,0,0,0,0,0,0,0,1,3,3,4,1,0,0,0,2,3,13,9
4,"middlesbrough 20150307","middlesbrough",20150307,1,0,0,0,0,0,0,0,0,3,1,7,2,6,0,7,3,0,9,29,27
5,"middlesbrough 20150228","middlesbrough",20150228,0,0,0,0,0,0,0,0,0,1,0,1,3,0,0,3,1,0,3,11,9
6,"middlesbrough 20150210","middlesbrough",20150210,2,0,0,0,0,0,0,0,0,1,2,3,3,1,0,3,1,2,5,19,13
7,"middlesbrough 20150120","middlesbrough",20150120,2,0,0,0,0,0,0,0,0,3,2,5,4,2,0,4,1,1,5,17,17
8,"middlesbrough 20150131","middlesbrough",20150131,1,0,0,0,0,0,1,0,0,2,1,4,3,1,0,2,0,0,7,20,12
9,"middlesbrough 20150403","middlesbrough",20150403,1,0,0,1,0,0,0,0,0,2,0,1,1,1,1,3,1,1,8,24,8
10,"middlesbrough 20150406","middlesbrough",20150406,0,0,0,1,0,0,0,0,0,2,0,5,2,1,0,2,0,0,6,21,11
11,"middlesbrough 20150411","middlesbrough",20150411,2,0,0,0,0,0,0,1,0,3,2,3,4,2,0,1,2,2,7,17,14
12,"middlesbrough 20150317","middlesbrough",20150317,1,0,0,0,0,0,0,0,0,1,1,2,2,0,0,0,1,1,4,9,5
13,"middlesbrough 20150414","middlesbrough",20150414,2,1,0,0,0,0,0,0,0,1,2,3,2,5,0,3,1,2,6,10,15
14,"middlesbrough 20140920","middlesbrough",20140920,4,0,0,0,0,0,0,0,0,3,3,3,2,2,1,5,3,4,5,21,16
15,"middlesbrough 20140913","middlesbrough",20140913,2,0,1,0,0,0,1,0,0,1,1,3,2,3,1,6,0,0,11,30,10
16,"middlesbrough 20140816","middlesbrough",20140816,0,0,0,0,0,0,0,0,0,3,0,2,0,2,0,4,0,0,4,27,9
17,"middlesbrough 20150207","middlesbrough",20150207,3,0,0,0,0,0,0,0,0,3,2,4,2,2,1,1,3,3,10,24,15
18,"middlesbrough 20150215","middlesbrough",20150215,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,3,1,0,3,10,3
